jwc.cumtb.edu.cncumtb.edu.cn. 0 IN A 220.250.64.225

www.cumtb.edu.cncumtb.edu.cn. 0 IN A 220.250.64.225

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

yjsglxt.cumtb.edu.cn. 3600 IN A 118.228.224.68

zcc.cumtb.edu.cn. 3600 IN A 202.112.209.92

zcc.cumtb.edu.cn. 3599 IN A 202.112.209.92

zkdbjwz.cumtb.edu.cn. 3600 IN A 202.112.209.49

zkdbjwz.cumtb.edu.cn. 3599 IN A 202.112.209.49

zkdbjwz.cumtb.edu.cn. 3599 IN A 202.112.209.49

zwc.cumtb.edu.cn. 3600 IN A 202.112.209.92

zyxy.cumtb.edu.cn. 3600 IN A 202.112.209.100

zzb.cumtb.edu.cn. 3600 IN A 202.112.209.92

