NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

2019.jiangnan.edu.cn. 4320 IN A 202.195.147.56
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

coremail.jiangnan.edu.cn. 4320 IN A 202.195.144.252

coremail.jiangnan.edu.cn. 4319 IN A 202.195.144.252

cs.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

cs.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

cs.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

cs.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

cs.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

cso.jiangnan.edu.cn. 3657 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.248

ctc.jiangnan.edu.cn. 30 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249

ctc.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249

ctc.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249

ctc.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249

ctc.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249

cyy.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

cyy.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

cyy.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

cyy.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

cyy.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

dangan.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249

dangan.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249

dangan.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249

dangan.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249

dangan.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249

dangban.jiangnan.edu.cn. 30 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248

dcabes2006.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249

dcabes2008.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

dcabes2015.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

designlabs.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248

designlabs.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248

designlabs.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249
