NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

2019.jiangnan.edu.cn. 4320 IN A 202.195.147.56
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jsb.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jsb.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jsb.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jsgzb.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

juanzeng.jiangnan.edu.cn. 4320 IN A 202.195.147.56

juanzeng.jiangnan.edu.cn. 4319 IN A 202.195.147.56

juanzeng.jiangnan.edu.cn. 4319 IN A 202.195.147.56

juanzeng.jiangnan.edu.cn. 4319 IN A 202.195.147.56

junyuan.jiangnan.edu.cn. 3655 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248

junyuan.jiangnan.edu.cn. 3654 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248

junyuan.jiangnan.edu.cn. 3654 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248

junyuan.jiangnan.edu.cn. 3654 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248

junyuan.jiangnan.edu.cn. 3654 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248

jup.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jup.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jup.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jup.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jup.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jw.jiangnan.edu.cn. 4320 IN A 202.195.147.91

jw.jiangnan.edu.cn. 4319 IN A 202.195.147.91

jw.jiangnan.edu.cn. 4319 IN A 202.195.147.91

jw.jiangnan.edu.cn. 4319 IN A 202.195.147.91

jw.jiangnan.edu.cn. 4319 IN A 202.195.147.91

jw1.jiangnan.edu.cn. 4320 IN A 202.195.144.174

jwc.jiangnan.edu.cn. 3656 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jwc.jiangnan.edu.cn. 3655 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jwc.jiangnan.edu.cn. 3655 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jwc.jiangnan.edu.cn. 3655 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jwc.jiangnan.edu.cn. 3655 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jwxt.jiangnan.edu.cn. 4320 IN A 202.195.144.163

jyfzjjh.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jyfzjjh.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jyfzjjh.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jyfzjjh.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

jyfzjjh.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

kjc.jiangnan.edu.cn. 873 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248

kjc.jiangnan.edu.cn. 872 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248

klccb.jiangnan.edu.cn. 3654 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249

klccb.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249

klccb.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249

klccb.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249

klccb.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249

klet.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249

klib.jiangnan.edu.cn. 3654 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248

klib.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248

klib.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248

klib.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248

klib.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248

ky.jiangnan.edu.cn. 4320 IN CNAME imp.jiangnan.edu.cn.
imp.jiangnan.edu.cn. 4318 IN A 202.195.145.198

ky.jiangnan.edu.cn. 4319 IN CNAME imp.jiangnan.edu.cn.
imp.jiangnan.edu.cn. 4318 IN A 202.195.145.198

ky.jiangnan.edu.cn. 4319 IN CNAME imp.jiangnan.edu.cn.
imp.jiangnan.edu.cn. 4318 IN A 202.195.145.198

ky.jiangnan.edu.cn. 4319 IN CNAME imp.jiangnan.edu.cn.
imp.jiangnan.edu.cn. 4318 IN A 202.195.145.198

law.jiangnan.edu.cn. 30 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

law.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

law.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

law.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

law.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

lbbe.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

lbbe.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

lbbe.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

lbbe.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

lbbe.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248

lbmae.jiangnan.edu.cn. 2349 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2348 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2348 IN A 202.195.147.249

lemt.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248

lib.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

lib.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

lib.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

lib.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

lioeet.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248

liutianxi.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

ltxc.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

ltxc.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

mail.jiangnan.edu.cn. 4320 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

mail.jiangnan.edu.cn. 4319 IN CNAME ssl.exmail.qq.com.
ssl.exmail.qq.com. 561 IN A 58.251.81.43
ssl.exmail.qq.com. 561 IN A 58.250.136.39

marxism.jiangnan.edu.cn. 30 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

marxism.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

marxism.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

marxism.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

marxism.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

mba.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

mba.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

mba.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

mba.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

mba.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

mdst.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249

mg.jiangnan.edu.cn. 0 IN A 220.250.64.225

mg.jiangnan.edu.cn. 30 IN A 220.250.64.225

mg.jiangnan.edu.cn. 29 IN A 220.250.64.225

mg.jiangnan.edu.cn. 29 IN A 220.250.64.225

mg.jiangnan.edu.cn. 29 IN A 220.250.64.225

mg.jiangnan.edu.cn. 29 IN A 220.250.64.225

mg.jiangnan.edu.cn. 29 IN A 220.250.64.225

mg.jiangnan.edu.cn. 29 IN A 220.250.64.225

mgw.jiangnan.edu.cn. 0 IN A 220.250.64.225

mgw.jiangnan.edu.cn. 30 IN A 220.250.64.225

mgw.jiangnan.edu.cn. 29 IN A 220.250.64.225

mgw.jiangnan.edu.cn. 29 IN A 220.250.64.225

mgw.jiangnan.edu.cn. 29 IN A 220.250.64.225

mgw.jiangnan.edu.cn. 29 IN A 220.250.64.225

mgw.jiangnan.edu.cn. 29 IN A 220.250.64.225

mgw.jiangnan.edu.cn. 29 IN A 220.250.64.225

mgw.jiangnan.edu.cn. 29 IN A 220.250.64.225

ml.jiangnan.edu.cn. 0 IN A 220.250.64.225

ms.jiangnan.edu.cn. 0 IN A 220.250.64.225

ms.jiangnan.edu.cn. 30 IN A 220.250.64.225

ms.jiangnan.edu.cn. 29 IN A 220.250.64.225

ms.jiangnan.edu.cn. 29 IN A 220.250.64.225

ms.jiangnan.edu.cn. 29 IN A 220.250.64.225

ms.jiangnan.edu.cn. 29 IN A 220.250.64.225

ms.jiangnan.edu.cn. 29 IN A 220.250.64.225

multiedu.jiangnan.edu.cn. 4314 IN A 202.195.144.147

nac.jiangnan.edu.cn. 30 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

nac.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

nac.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

nac.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

nac.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249

nelcf.jiangnan.edu.cn. 3654 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249

nelcf.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249

nelcf.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249

nelcf.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249

nelcf.jiangnan.edu.cn. 3653 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2902 IN A 202.195.147.249

nercff.jiangnan.edu.cn. 2361 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2349 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2349 IN A 202.195.147.249

news.jiangnan.edu.cn. 30 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

news.jiangnan.edu.cn. 29 IN CNAME ce9a8c7a64db3885.cname.365cyd.cn.
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 111.202.98.99
ce9a8c7a64db3885.cname.365cyd.cn. 29 IN A 118.212.233.160

nic.jiangnan.edu.cn. 30 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2901 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2901 IN A 202.195.147.249

nic.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2901 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2901 IN A 202.195.147.249

nic.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2901 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2901 IN A 202.195.147.249

nic.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2901 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2901 IN A 202.195.147.249

nic.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2901 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2901 IN A 202.195.147.249

nms.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.248

open.jiangnan.edu.cn. 4320 IN A 202.195.145.73

optics.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4313 IN A 202.195.147.249
